Index	TID	Accession	Synonym	Description
2261	103168	C3L5T6	nadD	Probable nicotinate-nucleotide adenylyltransferase
2262	100008	O60658	PDE8A	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A
2263	103105	P35626	ADRBK2 	Beta-adrenergic receptor kinase 2
2264	109910	P38169	BNA4	Kynurenine 3-monooxygenase
2265	20083	P17712	Gck	Glucokinase
2266	109916	P04040	CAT	Catalase
2267	20129	P97571	Cls1	Calpain-1 catalytic subunit
2268	77	P16233	PNLIP	Pancreatic triacylglycerol lipase
2269	76	P15538	S11BH	Cytochrome P450 11B1, mitochondrial
2270	74	P14867	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1
2271	73	P14679	TYR	Tyrosinase
2272	72	P14416	DRD2	D(2) dopamine receptor
2273	71	P14324	FPS 	Farnesyl pyrophosphate synthase
2274	70	P13922	Bifunctional dihydrofolate reductase-thymidylate synthase	Bifunctional dihydrofolate reductase-thymidylate synthase
2275	12605	P15390	Scn4a	Sodium channel protein type 4 subunit alpha
2276	109889	P61793	Edg2 	Lysophosphatidic acid receptor 1
2277	12135	Q62986	Erbeta 	Estrogen receptor beta
2278	100198	Q01158	Luciferin 4-monooxygenase	Luciferin 4-monooxygenase
2279	103104	Q8NEB9	VPS34	Phosphatidylinositol 3-kinase catalytic subunit type 3
2280	10019	P20142	PGC	Gastricsin
2281	102793	P15374	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3
2282	17050	P08236	GUSB	Beta-glucuronidase
2283	30050	Q9Y6R4	KIAA0213 	Mitogen-activated protein kinase kinase kinase 4
2284	103062	Q8WTQ7	GPRK7	Rhodopsin kinase
2285	103063	P42346	Frap1 	Serine/threonine-protein kinase mTOR
2286	18011	Q8NWQ9	folA	Dihydrofolate reductase
2287	18010	A1ZA98	None	Carboxylic ester hydrolase
2288	11054	Q14833	GPRC1D 	Metabotropic glutamate receptor 4
2289	11055	O15303	GPRC1F 	Metabotropic glutamate receptor 6
2290	11056	P35349	Gprc1f 	Metabotropic glutamate receptor 6
2291	18014	O68720	None	Targeted effector protein
2292	11058	P70579	Gprc1h 	Metabotropic glutamate receptor 8
2293	103068	Q9BT73	C7orf48 	Proteasome assembly chaperone 3
2294	103069	Q9NUW8	TDP1	Tyrosyl-DNA phosphodiesterase 1
2295	109598	P0ACC7	yieA	Bifunctional protein GlmU
2296	109599	Q96PN8	SPOGA3 	Testis-specific serine/threonine-protein kinase 3
2297	101359	Q96PY6	KIAA1901	Serine/threonine-protein kinase Nek1
2298	10015	Q9NS75	CYSLT2 	Cysteinyl leukotriene receptor 2
2299	8	P00519	ABL 	Tyrosine-protein kinase ABL1
2300	100467	P53985	MCT1	Monocarboxylate transporter 1
2301	12436	Q64737	Gart	Trifunctional purine biosynthetic protein adenosine-3
2302	100465	Q9QUL3	Pla2g2e	Group IIE secretory phospholipase A2
2303	100464	Q9QXX3	Pla2g10	Group 10 secretory phospholipase A2
2304	100463	P0CP75	PLB	Phospholipase B
2305	100468	Q07820	BCL2L3	Induced myeloid leukemia cell differentiation protein Mcl-1
2306	101483	P29353	SHC 	SHC-transforming protein 1
2307	103664	P51450	Nr1f3 	Nuclear receptor ROR-gamma
2308	108353	Q07806	ponA	Penicillin-binding protein 1A
2309	103662	P22736	GFRP1 	Nuclear receptor subfamily 4 group A member 1
2310	103469	Q924U1	Gpr54	KiSS-1 receptor
2311	103467	P03433	PA	Polymerase acidic protein
2312	103464	Q8T8E9	galE	UDP-galactose 4-epimerase
2313	103465	P10398	ARAF1 	Serine/threonine-protein kinase A-Raf
2314	103682	Q13887	BTEB2 	Krueppel-like factor 5
2315	311	P05227	Histidine-rich protein PFHRP-II	Histidine-rich protein PFHRP-II
2316	317	P0AFI2	None	DNA topoisomerase 4 subunit A
2317	103688	P15428	PGDH1 	15-hydroxyprostaglandin dehydrogenase [NAD(+)]
2318	100931	Q9UBE8	LAK1	Serine/threonine-protein kinase NLK
2319	11200	P00774	Ela2 	Chymotrypsin-like elastase family member 2A
2320	11203	O70536	Acact 	Sterol O-acyltransferase 1
2321	11202	Q61263	Acact	Sterol O-acyltransferase 1
2322	11205	O09106	Hdac1	Histone deacetylase 1
2323	11204	O75908	ACACT2 	Sterol O-acyltransferase 2
2324	100797	P12785	Fasn	Fatty acid synthase
2325	11206	Q92769	HDAC2	Histone deacetylase 2
2326	11209	P42684	ABLL 	Abelson tyrosine-protein kinase 2
2327	11208	O15379	HDAC3	Histone deacetylase 3
2328	12502	P21447	Abcb4 	Multidrug resistance protein 1A
2329	12500	Q9UGI6	K3	Small conductance calcium-activated potassium channel protein 3
2330	12507	P30557	Ptgerep3	Prostaglandin E2 receptor EP3 subtype
2331	12506	Q9WUI1	Prkm11	Mitogen-activated protein kinase 11
2332	12505	Q8K409	Polb	DNA polymerase beta
2333	102891	Q6VVP7	Malate dehydrogenase	Malate dehydrogenase
2334	100665	O97467	ht1	Hexose transporter 1
2335	10141	P00338	LDHA	L-lactate dehydrogenase A chain
2336	10711	P25098	ADRBK1 	Beta-adrenergic receptor kinase 1
2337	101173	P41235	HNF4 	Hepatocyte nuclear factor 4-alpha
2338	105207	Q9H2M3	BHMT2	S-methylmethionine--homocysteine S-methyltransferase BHMT2
2339	104599	Q7TQN9	Gpr142	Probable G-protein coupled receptor 142
2340	12644	P06700	MAR1	NAD-dependent histone deacetylase SIR2
2341	104451	A4HSF7	TRYR	Trypanothione reductase
2342	12640	P43004	EAAT2 	Excitatory amino acid transporter 2
2343	12641	P52500	Grpr	Gastrin-releasing peptide receptor
2344	12642	P00390	GLUR 	Glutathione reductase, mitochondrial
2345	12643	P04278	SHBG	Sex hormone-binding globulin
2346	100070	Q62868	Rock2	Rho-associated protein kinase 2
2347	104099	Q2V0Y6	pse-1	Beta-lactamase
2348	12648	Q15078	CDK5R 	Cyclin-dependent kinase 5 activator 1
2349	12649	P67775	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
2350	104457	Q97R46	glmU	Bifunctional protein GlmU
2351	101293	P19111	ALPI	Intestinal-type alkaline phosphatase
2352	101223	Q8NCG7	DAGLB	Sn1-specific diacylglycerol lipase beta
2353	101220	Q8N4C8	B55 	Misshapen-like kinase 1
2354	11518	P20417	Ptpn1	Tyrosine-protein phosphatase non-receptor type 1
2355	101224	Q8NET8	TRPV3	Transient receptor potential cation channel subfamily V member 3
2356	11515	P16499	PDEA	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha
2357	10493	Q9UBX1	CTSF	Cathepsin F
2358	11517	P16581	ELAM1	E-selectin
2359	101229	Q8NI60	ADCK3 	Atypical kinase COQ8A, mitochondrial
2360	100080	O96013	KIAA1142	Serine/threonine-protein kinase PAK 4
2361	100083	Q62137	Jak3	Tyrosine-protein kinase JAK3
2362	11512	P14061	E17KSR 	Estradiol 17-beta-dehydrogenase 1
2363	103844	Q13609	DHP2 	Deoxyribonuclease gamma
2364	103517	O18531	NR1H1	Ecdysone receptor
2365	100869	P49219	mtnr1c	Melatonin receptor type 1C
2366	10869	Q9BY41	HDACL1	Histone deacetylase 8
2367	103512	Q15717	HUR	ELAV-like protein 1
2368	103841	Q39829	Lipoxygenase	Lipoxygenase
2369	100649	P0A6R0	None	3-oxoacyl-[acyl-carrier-protein] synthase 3
2370	103511	Q15393	KIAA0017 	Splicing factor 3B subunit 3
2371	100863	Q8K4Z4	Adrb2	Beta-2 adrenergic receptor
2372	100314	P0A9C5	None	Glutamine synthetase
2373	19672	Q6P7A9	Gaa	Lysosomal alpha-glucosidase
2374	100644	P14900	None	UDP-N-acetylmuramoylalanine--D-glutamate ligase
2375	100643	P14902	IDO 	Indoleamine 2,3-dioxygenase 1
2376	100642	P15038	None	DNA helicase IV
2377	100641	P15273	yop51	Tyrosine-protein phosphatase YopH
2378	100312	Q8MTZ4	PPase1	Vacuolar-type proton translocating pyrophosphatase 1
2379	104526	Q9H665	TMEM149 	IGF-like family receptor 1
2380	104527	Q8MJ89	GPR24	Melanin-concentrating hormone receptor 1
2381	12670	P36888	CD135 	Receptor-type tyrosine-protein kinase FLT3
2382	104420	Q9Y4C1	JHDM2A 	Lysine-specific demethylase 3A
2383	101075	P0C6X7	rep	Replicase polyprotein 1ab
2384	100783	Q9UBR2	CTSZ	Cathepsin Z
2385	100676	O35854	Bcatm 	Branched-chain-amino-acid aminotransferase, mitochondrial
2386	100934	Q9UGP5	POLL	DNA polymerase lambda
2387	105140	Q14191	RECQ3 	Werner syndrome ATP-dependent helicase
2388	100674	O49150	Lipoxygenase	Lipoxygenase
2389	10914	P26769	Adcy2	Adenylate cyclase type 2
2390	100675	O42713	PPO2	Polyphenol oxidase 2
2391	10913	P30520	ADSS2	Adenylosuccinate synthetase isozyme 2
2392	10910	P40313	CTRL1	Chymotrypsin-like protease CTRL-1
2393	10911	P11086	PENT	Phenylethanolamine N-methyltransferase
2394	11421	P0A2Y6	aroC	Chorismate synthase
2395	101137	Q7Z4H4	AM2	ADM2
2396	11423	P26439	HSDB3B	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
2397	102926	Q63881	Kcnd2	Potassium voltage-gated channel subfamily D member 2
2398	101133	Q7TQP3	Gpr119	Glucose-dependent insulinotropic receptor
2399	11427	P61168	Drd2	D(2) dopamine receptor
2400	11426	P20288	DRD2	D(2) dopamine receptor
2401	17117	Q59401	Beta-lactamase	Beta-lactamase
2402	10648	Q9ERZ4	Chrm-2	Muscarinic acetylcholine receptor M2
2403	17110	Q02485	Cach1 	Voltage-dependent L-type calcium channel subunit alpha-1S
2404	10647	P08482	Chrm-1	Muscarinic acetylcholine receptor M1
2405	100671	O70370	Cats	Cathepsin S
2406	10315	P32300	Oprd1	Delta-type opioid receptor
2407	10640	P09660	Achre	Acetylcholine receptor subunit epsilon
2408	17118	Q61603	Glra4	Glycine receptor subunit alpha-4
2409	100993	Q13873	PPH1	Bone morphogenetic protein receptor type-2
2410	104123	O95931	CBX7	Chromobox protein homolog 7
2411	100776	P52663	nmcA	Imipenem-hydrolyzing beta-lactamase
2412	283	P51649	SSADH	Succinate-semialdehyde dehydrogenase, mitochondrial
2413	10951	Q01102	Grmp	P-selectin
2414	103767	O00255	SCG2	Menin
2415	10474	O60563	CCNT1	Cyclin-T1
2416	102811	Q9GPG0	Carboxylic ester hydrolase	Carboxylic ester hydrolase
2417	102812	P09610	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
2418	20012	P0C6U8	Replicase polyprotein 1a	Replicase polyprotein 1a
2419	102817	Q91WR5	Akr1c21	Aldo-keto reductase family 1 member C21
2420	19642	P97772	Gprc1a 	Metabotropic glutamate receptor 1
2421	101358	Q96PN6	SAC	Adenylate cyclase type 10
2422	10476	P01730	CD4	T-cell surface glycoprotein CD4
2423	100995	Q14289	FAK2 	Protein-tyrosine kinase 2-beta
2424	101352	P53051	IMA1	Oligo-1,6-glucosidase IMA1
2425	101350	P52176	MMP9	Matrix metalloproteinase-9
2426	101351	P52895	DDH2	Aldo-keto reductase family 1 member C2
2427	101356	Q96P65	GPR103	Pyroglutamylated RFamide peptide receptor
2428	101357	Q96PD7	None	Diacylglycerol O-acyltransferase 2
2429	101354	Q96LB2	MRGX1 	Mas-related G-protein coupled receptor member X1
2430	20151	Q6V1X1	DPRP1	Dipeptidyl peptidase 8
2431	104575	Q8WUK0	MOSP 	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
2432	20153	Q820T1	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3
2433	20152	Q7T3S7	Acidic phospholipase A2 EC-I	Acidic phospholipase A2 EC-I
2434	20154	Q86TI2	DPRP2	Dipeptidyl peptidase 9
2435	20157	Q8JZL2	Gpr24 	Melanin-concentrating hormone receptor 1
2436	10003	P07339	CPSD	Cathepsin D
2437	20159	Q92851	MCH4	Caspase-10
2438	20158	Q8MMZ8	cGMP-dependent protein kinase	cGMP-dependent protein kinase
2439	10008	P33534	Oprk1	Kappa-type opioid receptor
2440	10009	O43613	HCRTR1	Orexin receptor type 1
2441	105457	Q9BV23	ABHD6	Monoacylglycerol lipase ABHD6
2442	17063	P20789	Ntsr	Neurotensin receptor type 1
2443	17066	P23795	ACHE	Acetylcholinesterase
2444	17065	P23576	Gabra-2	Gamma-aminobutyric acid receptor subunit alpha-2
2445	105531	O67625	lytB	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
2446	17068	P27922	SLC6A3	Sodium-dependent dopamine transporter
2447	104423	Q9UPP1	KIAA1111 	Histone lysine demethylase PHF8
2448	10347	O08858	Smstr5	Somatostatin receptor type 5
2449	104570	P60842	DDX2A 	Eukaryotic initiation factor 4A-I
2450	30006	O94804	LOK	Serine/threonine-protein kinase 10
2451	104573	Q13451	AIG6 	Peptidyl-prolyl cis-trans isomerase FKBP5
2452	103449	O75747	PIK3C2G	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma
2453	10489	P48442	Gprc2a 	Extracellular calcium-sensing receptor
2454	105219	A0R666	None	HTH-type transcriptional regulator EthR
2455	9	P00533	ERBB 	Epidermal growth factor receptor
2456	105216	P41229	DXS1272E 	Lysine-specific demethylase 5C
2457	105215	O75936	BBH 	Gamma-butyrobetaine dioxygenase
2458	10483	P07872	Acox	Peroxisomal acyl-coenzyme A oxidase 1
2459	10485	O88319	Ntsr	Neurotensin receptor type 1
2460	10486	O95665	NTSR2	Neurotensin receptor type 2
2461	105210	B5ATN6	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase
2462	10260	Q8NER1	VR1	Transient receptor potential cation channel subfamily V member 1
2463	10262	Q9HCP0	CSNK1G1	Casein kinase I isoform gamma-1
2464	10264	P21802	BEK 	Fibroblast growth factor receptor 2
2465	10266	P11362	BFGFR 	Fibroblast growth factor receptor 1
2466	104578	Q7TMA4	Gpr120 	Free fatty acid receptor 4
2467	10466	O08786	Cckar	Cholecystokinin receptor type A
2468	10467	P33247	shc	Squalene--hopene cyclase
2469	10464	P08543	RIR1	Ribonucleoside-diphosphate reductase large subunit
2470	106659	Q9SPL6	PPX1	Protoporphyrinogen IX oxidase
2471	10462	P49881	NR1H1	Ecdysone receptor
2472	10460	P16184	Dihydrofolate reductase	Dihydrofolate reductase
2473	104421	Q9Y2K7	CXXC8 	Lysine-specific demethylase 2A
2474	11997	P14410	SI	Sucrase-isomaltase, intestinal
2475	10469	P78600	PRS	Proline--tRNA ligase, cytoplasmic
2476	100974	Q9UNQ0	ABCP 	ATP-binding cassette sub-family G member 2
2477	106168	P0AC13	dhpS	Dihydropteroate synthase
2478	102671	Q9H9B1	EUHMTASE1 	Histone-lysine N-methyltransferase EHMT1
2479	102672	Q96KQ7	BAT8 	Histone-lysine N-methyltransferase EHMT2
2480	102676	O15197	EPHB6	Ephrin type-B receptor 6
2481	11848	Q9BYF1	ACE2	Angiotensin-converting enzyme 2
2482	11847	Q9HBA0	VRL2 	Transient receptor potential cation channel subfamily V member 4
2483	11845	O88867	Kmo	Kynurenine 3-monooxygenase
2484	11843	Q15349	MAPKAPK1C 	Ribosomal protein S6 kinase alpha-2
2485	11842	P07948	JTK8	Tyrosine-protein kinase Lyn
2486	11840	Q92952	SK	Small conductance calcium-activated potassium channel protein 1
2487	11192	P42892	ECE1	Endothelin-converting enzyme 1
2488	11195	P04229	HLA-DRB1	HLA class II histocompatibility antigen, DRB1-1 beta chain
2489	11196	P52788	SMS	Spermine synthase
2490	11199	P08419	ELA2 	Chymotrypsin-like elastase family member 2A
2491	10083	P62136	PPP1A	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
2492	102645	Q02318	CYP27	Sterol 26-hydroxylase, mitochondrial
2493	102849	P35383	P2ru1	P2Y purinoceptor 2
2494	100979	P06935	Genome polyprotein	Genome polyprotein
2495	13005	P06870	KLK1	Kallikrein-1
2496	13004	P36897	ALK5 	TGF-beta receptor type-1
2497	102646	O15528	CYP1ALPHA 	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial
2498	13001	P08253	CLG4A	72 kDa type IV collagenase
2499	13000	P03956	CLG	Interstitial collagenase
2500	13008	Q6AY53	Dhps	Deoxyhypusine synthase
2501	30049	Q9Y4K4	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5
2502	12230	P08037	GALT 	Beta-1,4-galactosyltransferase 1
2503	30042	Q9NSY1	BIKE	BMP-2-inducible protein kinase
2504	30043	Q9P1W9	PIM2	Serine/threonine-protein kinase pim-2
2505	30040	Q9NQU5	PAK5	Serine/threonine-protein kinase PAK 6
2506	30046	Q9UF33	EHK2 	Ephrin type-A receptor 6
2507	30047	Q9UKE5	KIAA0551	TRAF2 and NCK-interacting protein kinase
2508	30044	Q9P286	KIAA1264 	Serine/threonine-protein kinase PAK 5
2509	30045	Q9UEE5	DRAK1	Serine/threonine-protein kinase 17A
2510	103071	O54798	Brs3	Bombesin receptor subtype-3
2511	109582	Q14694	KIAA0190	Ubiquitin carboxyl-terminal hydrolase 10
2512	106552	A9XFY4	nAChRalpha5	Nicotinic acetylcholine receptor alpha 5 subunit
2513	18008	Q8X6S1	None	Modulator of drug activity A
2514	109586	Q9BZ23	C20orf48	Pantothenate kinase 2, mitochondrial
2515	106557	B6TK44	Cycloeucalenol cycloisomerase	Cycloeucalenol cycloisomerase
2516	109584	O14793	GDF8	Growth/differentiation factor 8
2517	103079	P55072	VCP	Transitional endoplasmic reticulum ATPase
2518	108291	Q3UES3	Tank2	Tankyrase-2
2519	18006	P17597	AHAS 	Acetolactate synthase, chloroplastic
2520	18007	Q9LM02	CPH	Cycloartenol-C-24-methyltransferase
2521	18003	Q8IYB8	SUV3	ATP-dependent RNA helicase SUPV3L1, mitochondrial
2522	105126	P34707	skn-1	Protein skinhead-1
2523	103114	Q9H4A3	HSN2 	Serine/threonine-protein kinase WNK1
2524	104316	P9WI81	pknB	Serine/threonine-protein kinase PknB
2525	102418	P34021	NR1H1	Ecdysone receptor
2526	105353	Q460N3	BAL3	Poly [ADP-ribose] polymerase 15
2527	12587	O60911	CATL2 	Cathepsin L2
2528	105616	O00421	CCR11 	C-C chemokine receptor-like 2
2529	100412	Q9H4B4	CNK 	Serine/threonine-protein kinase PLK3
2530	100413	Q16620	TRKB	BDNF/NT-3 growth factors receptor
2531	100410	P30530	UFO	Tyrosine-protein kinase receptor UFO
2532	100416	P54753	ETK2 	Ephrin type-B receptor 3
2533	12425	P35228	NOS2A	Nitric oxide synthase, inducible
2534	12426	Q8K4F2	Alox15b	Arachidonate 15-lipoxygenase B
2535	100415	Q9BZL6	PKD2	Serine/threonine-protein kinase D2
2536	100418	P42680	PSCTK4	Tyrosine-protein kinase Tec
2537	100419	Q6P6U0	Fgr	Tyrosine-protein kinase Fgr
2538	108369	O95602	POLR1A	DNA-directed RNA polymerase I subunit RPA1
2539	109524	Q9BW19	HSET 	Kinesin-like protein KIFC1
2540	11476	Q08188	TGM3	Protein-glutamine gamma-glutamyltransferase E
2541	103679	Q932Y6	bla	Beta-lactamase
2542	101418	O88693	Ugcg	Ceramide glucosyltransferase
2543	103673	Q15149	PLEC1	Plectin
2544	103672	Q07440	A1 	Bcl-2-related protein A1
2545	20139	Q13535	FRP1	Serine/threonine-protein kinase ATR
2546	103670	P54132	RECQ2 	Bloom syndrome protein
2547	103677	Q79MP6	bla 	Beta-lactamase
2548	103479	P0AF14	None	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
2549	103474	D1MIX9	blaGES-13	Beta-lactamase
2550	103477	O15270	KIAA0526 	Serine palmitoyltransferase 2
2551	103476	O15269	LCB1	Serine palmitoyltransferase 1
2552	12585	Q92876	PRSS18 	Kallikrein-6
2553	103697	Q8VNN2	lacZ	Beta-galactosidase
2554	103696	Q8I2J3	M18 aspartyl aminopeptidase	M18 aspartyl aminopeptidase
2555	103691	P84022	MADH3	Mothers against decapentaplegic homolog 3
2556	103690	P51570	GALK	Galactokinase
2557	103693	Q5J463	tem-1	Beta-lactamase
2558	103692	Q03137	Sek 	Ephrin type-A receptor 4
2559	101451	Q9EPK8	Trp12 	Transient receptor potential cation channel subfamily V member 4
2560	101557	Q9HBY8	SGK2	Serine/threonine-protein kinase Sgk2
2561	103699	Q9HC29	CARD15 	Nucleotide-binding oligomerization domain-containing protein 2
2562	103698	Q9BPW0	PPP5C	Serine/threonine-protein phosphatase
2563	11213	P07900	HSP90A 	Heat shock protein HSP 90-alpha
2564	100338	P25090	FPRH1 	N-formyl peptide receptor 2
2565	11214	Q05469	LIPE	Hormone-sensitive lipase
2566	104170	P49407	ARR1	Beta-arrestin-1
2567	102843	P35428	Hes-1	Transcription factor HES-1
2568	109917	Q9UDY8	MLT	Mucosa-associated lymphoid tissue lymphoma translocation protein 1
2569	104173	P49798	RGS4	Regulator of G-protein signaling 4
2570	12443	Q8WUI4	HDAC7A	Histone deacetylase 7
2571	104172	Q8K4F5	Wbscr21	Protein ABHD11
2572	12518	P22756	Glur5	Glutamate receptor ionotropic, kainate 1
2573	107979	Q92753	NR1F2 	Nuclear receptor ROR-beta
2574	12514	P43140	Adra1c	Alpha-1A adrenergic receptor
2575	11775	P24864	CCNE	G1/S-specific cyclin-E1
2576	12516	Q9WUD2	Sac2b 	Transient receptor potential cation channel subfamily V member 2
2577	12510	Q00690	Elam-1	E-selectin
2578	12511	P06766	Polb	DNA polymerase beta
2579	12512	P25099	Adora1	Adenosine receptor A1
2580	101003	Q63644	Rock1	Rho-associated protein kinase 1
2581	103585	Q9BJJ9	FabI	Enoyl-ACP reductase
2582	104177	Q8VDG7	Pafah2	Platelet-activating factor acetylhydrolase 2, cytoplasmic
2583	101416	O78749	COI 	Cytochrome c oxidase subunit 1
2584	107994	Q00610	CLH17 	Clathrin heavy chain 1
2585	107995	O96394	Arginase	Arginase
2586	107992	Q8R4D5	Ltrpc6 	Transient receptor potential cation channel subfamily M member 8
2587	107993	P01127	PDGF2 	Platelet-derived growth factor subunit B
2588	107991	E9Q4Z2	Acc2 	Acetyl-CoA carboxylase 2
2589	107967	Q9ESU6	Mcap	Bromodomain-containing protein 4
2590	107998	O15164	RNF82 	Transcription intermediary factor 1-alpha
2591	107999	Q9BXF3	KIAA1740	Cat eye syndrome critical region protein 2
2592	12633	O02776	PARG	Poly(ADP-ribose) glycohydrolase
2593	12632	Q9BZM2	PLA2G2F	Group IIF secretory phospholipase A2
2594	12635	P63319	Pkcc 	Protein kinase C gamma type
2595	108308	Q9Y265	INO80H 	RuvB-like 1
2596	12566	P08483	Chrm-3	Muscarinic acetylcholine receptor M3
2597	10857	Q96KS0	EIT6	Egl nine homolog 2
2598	10856	P11799	Mylk	Myosin light chain kinase, smooth muscle
2599	101233	O00750	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
2600	101232	O00571	DBX 	ATP-dependent RNA helicase DDX3X
2601	101235	O08565	Cmkar4	C-X-C chemokine receptor type 4
2602	10738	P03474	NA	Neuraminidase
2603	10851	O95363	FARS1	Phenylalanine--tRNA ligase, mitochondrial
2604	10850	O75582	MSK1	Ribosomal protein S6 kinase alpha-5
2605	11507	O00748	ICE	Cocaine esterase
2606	11504	O15229	None	Kynurenine 3-monooxygenase
2607	11505	P54577	YARS	Tyrosine--tRNA ligase, cytoplasmic
2608	11500	O15496	PLA2G10	Group 10 secretory phospholipase A2
2609	10040	P10145	IL8	Interleukin-8
2610	103507	Q9KPI8	mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
2611	100639	P15917	None	Lethal factor
2612	103501	Q6UCJ9	ENR	Enoyl-acyl carrier reductase
2613	79	P18405	SRD5A1	3-oxo-5-alpha-steroid 4-dehydrogenase 1
2614	103855	Q86Y07	VRK2	Serine/threonine-protein kinase VRK2
