yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5ZTJ2	Q5ZTJ2	Q5ZTJ2_LEGPH	unreviewed	Uncharacterized protein	lpg2169	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	124
P23509	P23509	GLGS_SOLTU	reviewed	Glucose-1-phosphate adenylyltransferase small subunit, chloroplastic/amyloplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase B) (Alpha-D-glucose-1-phosphate adenyl transferase)		Solanum tuberosum (Potato)	521
Q7P1G6	Q7P1G6	Q7P1G6_CHRVO	unreviewed	Uncharacterized protein	CV_0247	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	139
P32565	P32565	RPN2_YEAST	reviewed	26S proteasome regulatory subunit RPN2	RPN2 SEN3 YIL075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	945
Q6PJ56	Q6PJ56	Q6PJ56_HUMAN	unreviewed	TRA@ protein	TRA@	Homo sapiens (Human)	296
Q8UVG6	Q8UVG6	Q8UVG6_DANRE	unreviewed	Cellular retinol-binding protein type II (Putative cellular retinol-binding protein) (Rbp2a protein) (Retinol binding protein 2a, cellular) (Uncharacterized protein)	rbp2a rbp2	Danio rerio (Zebrafish) (Brachydanio rerio)	135
E1BSW7	E1BSW7	CENPS_CHICK	reviewed	Centromere protein S (CENP-S)	APITD1 CENPS	Gallus gallus (Chicken)	139
Q9QYS9	Q9QYS9	QKI_MOUSE	reviewed	Protein quaking (MqkI) (qkI)	Qki Qk Qk1 Qka1	Mus musculus (Mouse)	341
Q1GJV4	Q1GJV4	Q1GJV4_RUEST	unreviewed	Uncharacterized protein	TM1040_0329	Ruegeria sp. (strain TM1040) (Silicibacter sp.)	233
Q8U1H5	Q8U1H5	Q8U1H5_PYRFU	unreviewed	Putative chitinase	PF1233	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	717
Q6GJ80	Q6GJ80	PTAS_STAAR	reviewed	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta SAR0594	Staphylococcus aureus (strain MRSA252)	328
A5W1A6	A5W1A6	A5W1A6_PSEP1	unreviewed	Glutathione S-transferase, N-terminal domain protein	Pput_1760	Pseudomonas putida (strain F1 / ATCC 700007)	231
A7LT28	A7LT28	A7LT28_BACO1	unreviewed	Uncharacterized protein	BACOVA_00967	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153)	456
A0PKT3	A0PKT3	A0PKT3_MYCUA	unreviewed	Cystathionine gamma-synthase MetB (Cgs)	metB MUL_0201	Mycobacterium ulcerans (strain Agy99)	388
Q46896	Q46896	CAS1_ECOLI	reviewed	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	ygbT cas1 b2755 JW2725	Escherichia coli (strain K12)	305
P03431	P03431	RDRP_I34A1	reviewed	RNA-directed RNA polymerase catalytic subunit (EC 2.7.7.48) (Polymerase basic protein 1) (PB1) (RNA-directed RNA polymerase subunit P1)	PB1	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	757
Q9X5F2	Q9X5F2	DXR_ZYMMO	reviewed	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr ZMO1150	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	388
Q1PHM6	Q1PHM6	Q1PHM6_9HIV1	unreviewed	Endogenous retrovirus group K member 113 Env polyprotein (Endogenous retrovirus group K member 13-1 Env polyprotein) (Endogenous retrovirus group K member 18 Env polyprotein) (Endogenous retrovirus group K member 19 Env polyprotein) (Endogenous retrovirus group K member 21 Env polyprotein) (Endogenous retrovirus group K member 24 Env polyprotein) (Endogenous retrovirus group K member 25 Env polyprotein) (Endogenous retrovirus group K member 6 Env polyprotein) (Endogenous retrovirus group K member 7 Env polyprotein) (Endogenous retrovirus group K member 8 Env polyprotein) (Endogenous retrovirus group K member 9 Env polyprotein) (Envelope glycoprotein gp160)	env	Human immunodeficiency virus 1	865
P28037	P28037	AL1L1_RAT	reviewed	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1) (FBP-CI)	Aldh1l1 Fthfd	Rattus norvegicus (Rat)	902
Q84AQ1	Q84AQ1	Q84AQ1_PSEST	unreviewed	Phenol hydroxylase component PheO (Phenol hydroxylase component phO)	phO	Pseudomonas stutzeri (Pseudomonas perfectomarina)	119
Q8A1C1	Q8A1C1	Q8A1C1_BACTN	unreviewed	Uncharacterized protein	BT_3745	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	374
Q2IDQ5	Q2IDQ5	Q2IDQ5_ANADE	unreviewed	Histidine kinase (EC 2.7.13.3)	Adeh_2942	Anaeromyxobacter dehalogenans (strain 2CP-C)	702
P19337	P19337	BAIA2_CLOSV	reviewed	Bile acid 7-dehydroxylase 2 (EC 1.17.98.1) (Bile acid-inducible protein 2) (Cholate 7-alpha-dehydroxylase 2)	baiA2	Clostridium scindens (strain JCM 10418 / VPI 12708)	249
P9WGT3	P9WGT3	FABG_MYCTU	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG1 (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase) (Beta-ketoacyl-acyl carrier protein reductase)	fabG1 mabA Rv1483 MTCY277.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	247
Q9UUB7	Q9UUB7	SWI5_SCHPO	reviewed	Mating-type switching protein swi5 (DNA repair protein swi5)	swi5 SPBC409.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	85
P13864	P13864	DNMT1_MOUSE	reviewed	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (Met-1) (EC 2.1.1.37) (DNA methyltransferase MmuI) (DNA MTase MmuI) (M.MmuI) (MCMT)	Dnmt1 Dnmt Met1 Uim	Mus musculus (Mouse)	1620
D9PZ08	D9PZ08	D9PZ08_ACIS3	unreviewed	Beta-galactosidase (EC 3.2.1.23)	ASAC_1390	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	490
Q945K2	Q945K2	MDL2_PRUDU	reviewed	(R)-mandelonitrile lyase 2 (EC 4.1.2.10) (Hydroxynitrile lyase 2) ((R)-oxynitrilase 2) (PaHNL1) (R-oxynitrile lyase isoenzyme 2)	MDL2 HNL1	Prunus dulcis (Almond) (Amygdalus dulcis)	563
K0BUH0	K0BUH0	K0BUH0_ECO1E		Deleted.			
P03706	P03706	ENLYS_LAMBD	reviewed	Endolysin (EC 4.2.2.n2) (Lysis protein) (Lysozyme) (Muramidase) (Transglycosylase)	R	Enterobacteria phage lambda (Bacteriophage lambda)	158
Q8KI25	Q8KI25	Q8KI25_NOCAE	unreviewed	Putative FAD-monooxygenase (Putative monooxygenase) (Putative polyketide hydroxylase) (RebC)	rbmD rebC	Lechevalieria aerocolonigenes (Nocardia aerocolonigenes) (Saccharothrix aerocolonigenes)	529
P39956	P39956	RPH1_YEAST	reviewed	DNA damage-responsive transcriptional repressor RPH1	RPH1 YER169W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
Q98H69	Q98H69	Q98H69_RHILO	unreviewed	Mlr3007 protein	mlr3007	Rhizobium loti (strain MAFF303099) (Mesorhizobium loti)	220
Q8DIQ0	Q8DIQ0	PSBT_THEEB	reviewed	Photosystem II reaction center protein T (PSII-T) (PSII-Tc)	psbT tsr1531	Thermosynechococcus elongatus (strain BP-1)	32
A0QX37	A0QX37	A0QX37_MYCS2	unreviewed	LAO/AO transport system ATPase (EC 2.7.-.-)	MSMEG_3160 MSMEI_3079	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	325
P00429	P00429	CX6B1_BOVIN	reviewed	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase polypeptide VII) (Cytochrome c oxidase subunit AED) (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	COX6B1 COX6B	Bos taurus (Bovine)	86
A9CI53	A9CI53	A9CI53_AGRFC	unreviewed	Acetyltransferase	Atu2231	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	150
Q6IUU3	Q6IUU3	QSOX1_RAT	reviewed	Sulfhydryl oxidase 1 (rQSOX) (rSOx) (EC 1.8.3.2) (FAD-dependent sulfhydryl oxidase-2) (SOx-2) (Quiescin Q6)	Qsox1 Qscn6 Sox2	Rattus norvegicus (Rat)	750
Q3J5A7	Q3J5A7	Q3J5A7_RHOS4	unreviewed	Cytochrome c oxidase subunit 1 (EC 1.9.3.1)	coxI RSP_1877	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	566
Q973T5	Q973T5	Q973T5_SULTO	unreviewed	Uncharacterized protein	STK_08120	Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7)	136
Q5SH92	Q5SH92	Q5SH92_THET8	unreviewed	SufC protein (ATP-binding protein)	TTHA1838	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	250
Q98VG9	Q98VG9	R1AB_FIPV	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1); Non-structural protein 2 (nsp2); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10); Non-structural protein 11 (nsp11); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Feline coronavirus (strain FIPV WSU-79/1146) (FCoV)	6709
F2Z293	F2Z293	F2Z293_SPIOL	unreviewed	Chlorophyll a-b binding protein, chloroplastic		Spinacia oleracea (Spinach)	243
D3Y1I2	D3Y1I2	D3Y1I2_9ACTN	unreviewed	TamL		Streptomyces sp. 307-9	500
Q08282	Q08282	TYW4_YEAST	reviewed	tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	PPM2 TYW4 YOL141W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	695
A7HM60	A7HM60	A7HM60_FERNB	unreviewed	Uncharacterized protein	Fnod_1146	Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1)	247
P00552	P00552	KKA2_KLEPN	reviewed	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (APH(3')-II) (APH(3')II) (Kanamycin kinase, type II) (Neomycin-kanamycin phosphotransferase type II)	neo kan nptII	Klebsiella pneumoniae	264
Q8KAL8	Q8KAL8	Q8KAL8_CHLTE	unreviewed	Uncharacterized protein	CT2138	Chlorobium tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)	174
Q9R744	Q9R744	Q9R744_STAAU	unreviewed	PBP2 (Penicillin binding protein 2) (Penicillin-binding protein 2) (Transglycosylase)	pbp2 ponA AS858_02625 ERS093009_01180 HMPREF3211_02644	Staphylococcus aureus	727
P96558	P96558	GTFA_AMYOR	reviewed	dTDP-epi-vancosaminyltransferase (EC 2.4.1.311) (Glycosyltransferase AH1) (GtfAH1) (Glycosyltransferase GtfA)	gtfA	Amycolatopsis orientalis (Nocardia orientalis)	396
B5ABT1	B5ABT1	B5ABT1_EPIPO	unreviewed	Takeout-like protein 1		Epiphyas postvittana (Light brown apple moth)	240
B4E9P3	B4E9P3	COAX_BURCJ	reviewed	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX BceJ2315_06870 BCAL0693	Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315))	266
Q9I3A4	Q9I3A4	Y1618_PSEAE	reviewed	Putative esterase PA1618 (EC 3.1.2.-)	PA1618	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	145
O58320	O58320	GYAR_PYRHO	reviewed	Glyoxylate reductase (EC 1.1.1.26)	gyaR PH0597	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	334
Q46SG3	Q46SG3	Q46SG3_CUPPJ	unreviewed	Uncharacterized protein	Reut_B4571	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Ralstonia eutropha (strain JMP 134))	168
O58863	O58863	O58863_PYRHO	unreviewed	Uncharacterized protein	PH1136	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	131
P60487	P60487	PLPP_MOUSE	reviewed	Pyridoxal phosphate phosphatase (PLP phosphatase) (EC 3.1.3.3) (EC 3.1.3.74) (Chronophin)	Pdxp Cin Plp Plpp	Mus musculus (Mouse)	292
P32914	P32914	SPT4_YEAST	reviewed	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)	SPT4 YGR063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102
B7GVN5	B7GVN5	B7GVN5_ACIB3		Deleted.			
Q8R426	Q8R426	KCIP1_RAT	reviewed	Kv channel-interacting protein 1 (KChIP1) (A-type potassium channel modulatory protein 1) (Potassium channel-interacting protein 1)	Kcnip1 Kchip1	Rattus norvegicus (Rat)	227
O29803	O29803	O29803_ARCFU	unreviewed	Uncharacterized protein	AF_0446	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	126
Q9EWE9	Q9EWE9	Q9EWE9_STRCO	unreviewed	Putative regulatory protein	SCO4942	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	226
A6L7P8	A6L7P8	A6L7P8_BACV8	unreviewed	Putative beta-phosphoglucomutase	BVU_4110	Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154)	244
Q7MAG0	Q7MAG0	Q7MAG0_WOLSU	unreviewed	BINDING COMPONENT OF ABC TRANSPORTER	WS0279	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	267
Q9X1S2	Q9X1S2	Q9X1S2_THEMA	unreviewed	Uncharacterized protein	TM_1586 Tmari_1594	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	206
P09624	P09624	DLDH_YEAST	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine decarboxylase complex subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component)	LPD1 DHLP1 YFL018C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	499
P00309	P00309	PHEA_MASLA	reviewed	Phycoerythrocyanin alpha chain	pccA	Mastigocladus laminosus (Fischerella sp.)	162
Q97NW2	Q97NW2	Q97NW2_STRPN		Deleted.			
P0A4U6	P0A4U6	NTCA_NOSS1	reviewed	Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein)	ntcA bifA alr4392	Nostoc sp. (strain PCC 7120 / UTEX 2576)	223
A9AC61	A9AC61	A9AC61_BURM1		Deleted.			
O32243	O32243	OPUCC_BACSU	reviewed	Glycine betaine/carnitine/choline-binding protein OpuCC (Osmoprotectant-binding protein)	opuCC yvbC BSU33810	Bacillus subtilis (strain 168)	303
P9WPX6	P9WPX6	AROQ_MYCTO	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ aroD MT2612	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	147
Q6I7B2	Q6I7B2	Q6I7B2_FUNCO	unreviewed	Fluorescent protein	mKO	Fungia concinna (Mushroom coral) (Verrillofungia concinna)	218
Q088B8	Q088B8	Q088B8_SHEFN	unreviewed	Succinylglutamate desuccinylase/aspartoacylase	Sfri_0536	Shewanella frigidimarina (strain NCIMB 400)	372
P04385	P04385	GAL1_YEAST	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GAL1 YBR020W YBR0302	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528
Q9D394	Q9D394	RUFY3_MOUSE	reviewed	Protein RUFY3 (Rap2-interacting protein x) (RIPx) (Single axon-regulated protein 1) (Singar1)	Rufy3 D5Bwg0860e Ripx	Mus musculus (Mouse)	469
Q5FA19	Q5FA19	FBPC_NEIG1	reviewed	Fe(3+) ions import ATP-binding protein FbpC (EC 3.6.3.30)	fbpC NGO0215	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	352
Q9WYS8	Q9WYS8	Q9WYS8_THEMA	unreviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK TM_0447 Tmari_0444	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	380
Q5NGE8	Q5NGE8	Q5NGE8_FRATT	unreviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK FTT_0897 BZ14_1963	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	365
O34533	O34533	YTCD_BACSU	reviewed	Uncharacterized HTH-type transcriptional regulator YtcD	ytcD BSU29030	Bacillus subtilis (strain 168)	126
Q9KTK3	Q9KTK3	Q9KTK3_VIBCH	unreviewed	Uncharacterized protein	VC_0899	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	457
P43577	P43577	GNA1_YEAST	reviewed	Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)	GNA1 PAT1 YFL017C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	159
A2A136	A2A136	A2A136_9BACL	unreviewed	Catalase (EC 1.11.1.6)	ektA	Exiguobacterium oxidotolerans	491
O76242	O76242	GLBN_CERLA	reviewed	Neural hemoglobin (NrHb)		Cerebratulus lacteus (Milky ribbon worm) (Micrura lactea)	110
P46680	P46680	AIP1_YEAST	reviewed	Actin-interacting protein 1	AIP1 YMR092C YM9582.17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	615
Q9ER97	Q9ER97	NGB_MOUSE	reviewed	Neuroglobin	Ngb	Mus musculus (Mouse)	151
Q9HWF9	Q9HWF9	BFR_PSEAE	reviewed	Bacterioferritin (BFR) (EC 1.16.3.1)	bfr bfrA PA4235	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	154
F9VMT6	F9VMT6	F9VMT6_SULTO	unreviewed	Fructose-1,6-bisphosphatase (EC 3.1.3.11)	fbp STK_03180	Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7)	384
C0P9J6	C0P9J6	C0P9J6_MAIZE	unreviewed	Aminoaldehyde dehydrogenase 1 (EC 1.2.1.19) (Uncharacterized protein)	AMADH1	Zea mays (Maize)	505
Q5N255	Q5N255	Q5N255_SYNP6		Deleted.			
Q8RDH4	Q8RDH4	Q8RDH4_CALS4	unreviewed	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	DppD TTE0057	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	326
Q6VMK1	Q6VMK1	Q6VMK1_9INFA	unreviewed	Hemagglutinin (Fragment)	HA	Influenza A virus (A/Netherlands/219/2003(H7N7))	569
Q8NW89	Q8NW89	Q8NW89_STAAW		Deleted.			
Q6ICR9	Q6ICR9	Q6ICR9_HUMAN	unreviewed	HLA-DMA protein (Fragment)	HLA-DMA	Homo sapiens (Human)	261
P21575	P21575	DYN1_RAT	reviewed	Dynamin-1 (EC 3.6.5.5) (B-dynamin) (D100) (Dynamin, brain)	Dnm1 Dnm	Rattus norvegicus (Rat)	864
Q5SKN9	Q5SKN9	LCFCS_THET8	reviewed	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain fatty acyl-CoA synthetase) (LC-FACS)	TTHA0604	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	541
Q70DX5	Q70DX5	Q70DX5_9ACTN	unreviewed	Cupin 2 conserved barrel domain protein (RemF protein)	remF ADK37_07620 AQJ84_12450	Streptomyces resistomycificus	143
A4ZF98	A4ZF98	A4ZF98_9CAUD	unreviewed	DUTPase		Staphylococcus phage 80alpha	170
Q17ZU8	Q17ZU8	Q17ZU8_PEPD6	unreviewed	Putative nitroreductase	CD630_32050	Peptoclostridium difficile (strain 630) (Clostridium difficile)	197
D5MNX3	D5MNX3	D5MNX3_MYCS8	unreviewed	Moba relate protein		Mycobacterium sp. (strain DSM 3803 / JC1)	199
Q8GR61	Q8GR61	Q8GR61_GLUOY	unreviewed	Xylitol dehydrogenase	xdh	Gluconobacter oxydans (Gluconobacter suboxydans)	262
Q5HCV6	Q5HCV6	Q5HCV6_STAAC		Deleted.			
Q0ZNA6	Q0ZNA6	Q0ZNA6_9HEPC	unreviewed	NS3 protease (Fragment)		Hepatitis C virus	181
Q5SL35	Q5SL35	KCY_THET8	reviewed	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk TTHA0458	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	208
Q9I8L5	Q9I8L5	FA10A_DANRE	reviewed	Fatty acid-binding protein 10-A, liver basic (Zf-FABP10) (Zf-Lb-FABP) (Fatty acid-binding protein, liver) (Liver bile acid-binding protein) (L-BABP) (z-L-BABP) (Liver-type fatty acid-binding protein) (L-FABP) (Liver-type FABP)	fabp10a fabp10 zgc:103719 zgc:92741	Danio rerio (Zebrafish) (Brachydanio rerio)	126
O58493	O58493	O58493_PYRHO	unreviewed	Uncharacterized protein	PH0766	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	457
Q9RXE3	Q9RXE3	Q9RXE3_DEIRA	unreviewed	Chorismate dehydratase (EC 4.2.1.151) (Menaquinone biosynthetic enzyme MqnA)	mqnA DR_0370 A2G07_11685	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	291
B3FK34	B3FK34	B3FK34_9CAUD	unreviewed	Putative uncharacterized protein	201phi2-1p059	Pseudomonas phage 201phi2-1	315
P02075	P02075	HBB_SHEEP	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain)	HBB	Ovis aries (Sheep)	145
Q9C5D0	Q9C5D0	CBSX2_ARATH	reviewed	CBS domain-containing protein CBSX2, chloroplastic (CBS domain-containing protein 1) (AtCDCP1) (Protein LOSS OF THE TIMING OF ET AND JA BIOSYNTHESIS 1) (AtLEJ1)	CBSX2 CDCP1 At4g34120 F28A23.120	Arabidopsis thaliana (Mouse-ear cress)	238
Q8YFD6	Q8YFD6	Y1586_BRUME	reviewed	Protein BMEI1586 (EC 5.1.1.8)	BMEI1586	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	342
D0VWY1	D0VWY1	D0VWY1_PHYAN	unreviewed	rRNA N-glycosidase (EC 3.2.2.22)		Phytolacca acinosa (Indian pokeweed) (Phytolacca esculenta)	261
O64903	O64903	NDK2_ARATH	reviewed	Nucleoside diphosphate kinase II, chloroplastic (NDK II) (NDP kinase II) (NDPK II) (NDPK Ia) (EC 2.7.4.6)	NDPK2 At5g63310 MDC12.28	Arabidopsis thaliana (Mouse-ear cress)	231
Q8FC98	Q8FC98	Q8FC98_ECOL6		Deleted.			
Q89YS0	Q89YS0	Q89YS0_BACTN	unreviewed	Uncharacterized protein	BT_4661	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	726
Q5LSJ5	Q5LSJ5	DCTP_RUEPO	reviewed	Solute-binding protein SPO1773	dctP SPO1773	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) (Silicibacter pomeroyi)	327
M1VAN7	M1VAN7	M1VAN7_CYAM1	unreviewed	ATP-binding cassette, sub-family B, member 1	CYME_CMD148C	Cyanidioschyzon merolae (strain 10D) (Red alga)	696
P82543	P82543	COXA_THET8	reviewed	Cytochrome c oxidase polypeptide 2A (EC 1.9.3.1) (Cytochrome c ba(3) subunit IIA) (Cytochrome c oxidase polypeptide IIA) (Cytochrome cba3 subunit 2A)	cbaD TTHA1133	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	34
P19120	P19120	HSP7C_BOVIN	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	HSPA8 HSC70	Bos taurus (Bovine)	650
B0RMW8	B0RMW8	B0RMW8_XANCB	unreviewed	Transcriptional regulator, MarR family	xcc-b100_0469	Xanthomonas campestris pv. campestris (strain B100)	189
Q64487	Q64487	PTPRD_MOUSE	reviewed	Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)	Ptprd	Mus musculus (Mouse)	1912
Q9ZST4	Q9ZST4	GLNB_ARATH	reviewed	Nitrogen regulatory protein P-II homolog (Protein PII-like)	GLB1 GLNB1 At4g01900 T7B11.16	Arabidopsis thaliana (Mouse-ear cress)	196
P09872	P09872	VSPCA_AGKCO	reviewed	Protein C activator (EC 3.4.21.-) (ACC-C) (Snake venom serine protease) (SVSP)		Agkistrodon contortrix contortrix (Southern copperhead)	231
B6KNM2	B6KNM2	B6KNM2_TOXGO		Deleted.			
Q39243	Q39243	TRXB1_ARATH	reviewed	Thioredoxin reductase 1 (EC 1.8.1.9) (NADPH-dependent thioredoxin reductase 1) (NTR1) (NADPH-dependent thioredoxin reductase B) (AtNTRB)	NTR1 NTRB At4g35460 F15J1.30	Arabidopsis thaliana (Mouse-ear cress)	375
P03034	P03034	RPC1_LAMBD	reviewed	Repressor protein cI	cI lambdap88	Enterobacteria phage lambda (Bacteriophage lambda)	237
